wd22cd,wd22nm,lad22cd,lad22nm
E05000650,Astley Bridge,E08000001,Bolton
E05000651,Bradshaw,E08000001,Bolton
E05000652,Breightmet,E08000001,Bolton
E05000653,Bromley Cross,E08000001,Bolton
E05000654,Crompton,E08000001,Bolton
E05000655,Farnworth,E08000001,Bolton
E05000656,Great Lever,E08000001,Bolton
E05000657,Halliwell,E08000001,Bolton
E05000658,Harper Green,E08000001,Bolton
E05000659,Heaton and Lostock,E08000001,Bolton
E05000660,Horwich and Blackrod,E08000001,Bolton
E05000661,Horwich North East,E08000001,Bolton
E05000662,Hulton,E08000001,Bolton
E05000663,Kearsley,E08000001,Bolton
E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E05000665,Rumworth,E08000001,Bolton
E05000666,Smithills,E08000001,Bolton
E05000667,Tonge with the Haulgh,E08000001,Bolton
E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E05000669,Westhoughton South,E08000001,Bolton
E05000719,Alexandra,E08000004,Oldham
E05000720,Chadderton Central,E08000004,Oldham
E05000721,Chadderton North,E08000004,Oldham
E05000722,Chadderton South,E08000004,Oldham
E05000723,Coldhurst,E08000004,Oldham
E05000724,Crompton,E08000004,Oldham
E05000725,Failsworth East,E08000004,Oldham
E05000726,Failsworth West,E08000004,Oldham
E05000727,Hollinwood,E08000004,Oldham
E05000728,Medlock Vale,E08000004,Oldham
E05000729,Royton North,E08000004,Oldham
E05000730,Royton South,E08000004,Oldham
E05000731,Saddleworth North,E08000004,Oldham
E05000732,Saddleworth South,E08000004,Oldham
E05000733,Saddleworth West and Lees,E08000004,Oldham
E05000734,St James',E08000004,Oldham
E05000735,St Mary's,E08000004,Oldham
E05000736,Shaw,E08000004,Oldham
E05000737,Waterhead,E08000004,Oldham
E05000738,Werneth,E08000004,Oldham
E05000779,Bramhall North,E08000007,Stockport
E05000780,Bramhall South and Woodford,E08000007,Stockport
E05000781,Bredbury and Woodley,E08000007,Stockport
E05000782,Bredbury Green and Romiley,E08000007,Stockport
E05000783,Brinnington and Central,E08000007,Stockport
E05000784,Cheadle and Gatley,E08000007,Stockport
E05000785,Cheadle Hulme North,E08000007,Stockport
E05000786,Cheadle Hulme South,E08000007,Stockport
E05000787,Davenport and Cale Green,E08000007,Stockport
