lsoa_code,lsoa_name,la_code,la_name
E01004771,Bolton 003C,E08000001,Bolton
E01004770,Bolton 003B,E08000001,Bolton
E01004767,Bolton 005B,E08000001,Bolton
E01004769,Bolton 003A,E08000001,Bolton
E01004771,Bolton 003C,E08000001,Bolton
E01004770,Bolton 003B,E08000001,Bolton
E01004769,Bolton 003A,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004773,Bolton 003D,E08000001,Bolton
E01004773,Bolton 003D,E08000001,Bolton
E01004774,Bolton 005D,E08000001,Bolton
E01004774,Bolton 005D,E08000001,Bolton
E01004770,Bolton 003B,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004770,Bolton 003B,E08000001,Bolton
E01004773,Bolton 003D,E08000001,Bolton
E01004774,Bolton 005D,E08000001,Bolton
E01004773,Bolton 003D,E08000001,Bolton
E01004772,Bolton 005C,E08000001,Bolton
E01004774,Bolton 005D,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004774,Bolton 005D,E08000001,Bolton
E01004767,Bolton 005B,E08000001,Bolton
E01004767,Bolton 005B,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004767,Bolton 005B,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004767,Bolton 005B,E08000001,Bolton
E01004766,Bolton 005A,E08000001,Bolton
E01004771,Bolton 003C,E08000001,Bolton
E01004768,Bolton 001A,E08000001,Bolton
E01004768,Bolton 001A,E08000001,Bolton
E01004768,Bolton 001A,E08000001,Bolton
E01004769,Bolton 003A,E08000001,Bolton
E01004768,Bolton 001A,E08000001,Bolton
E01004768,Bolton 001A,E08000001,Bolton
E01004769,Bolton 003A,E08000001,Bolton
E01004771,Bolton 003C,E08000001,Bolton
E01004769,Bolton 003A,E08000001,Bolton
E01004770,Bolton 003B,E08000001,Bolton
E01004771,Bolton 003C,E08000001,Bolton
E01004775,Bolton 014A,E08000001,Bolton
E01004775,Bolton 014A,E08000001,Bolton
E01004778,Bolton 009A,E08000001,Bolton
E01004782,Bolton 009C,E08000001,Bolton
E01004782,Bolton 009C,E08000001,Bolton
E01004783,Bolton 009D,E08000001,Bolton
E01004783,Bolton 009D,E08000001,Bolton
E01004780,Bolton 009B,E08000001,Bolton
E01004783,Bolton 009D,E08000001,Bolton
E01004783,Bolton 009D,E08000001,Bolton
E01004783,Bolton 009D,E08000001,Bolton
E01004780,Bolton 009B,E08000001,Bolton
E01004778,Bolton 009A,E08000001,Bolton
E01004778,Bolton 009A,E08000001,Bolton
E01004778,Bolton 009A,E08000001,Bolton
E01004782,Bolton 009C,E08000001,Bolton
E01004780,Bolton 009B,E08000001,Bolton
E01004780,Bolton 009B,E08000001,Bolton
E01004782,Bolton 009C,E08000001,Bolton
E01004779,Bolton 007A,E08000001,Bolton
E01004777,Bolton 004A,E08000001,Bolton
E01004781,Bolton 007B,E08000001,Bolton
E01004775,Bolton 014A,E08000001,Bolton
E01004777,Bolton 004A,E08000001,Bolton
E01004777,Bolton 004A,E08000001,Bolton
E01004777,Bolton 004A,E08000001,Bolton
E01004779,Bolton 007A,E08000001,Bolton
E01004779,Bolton 007A,E08000001,Bolton
E01004777,Bolton 004A,E08000001,Bolton
E01004779,Bolton 007A,E08000001,Bolton
E01004781,Bolton 007B,E08000001,Bolton
E01004781,Bolton 007B,E08000001,Bolton
E01004781,Bolton 007B,E08000001,Bolton
E01004776,Bolton 031A,E08000001,Bolton
E01004776,Bolton 031A,E08000001,Bolton
E01004776,Bolton 031A,E08000001,Bolton
E01004775,Bolton 014A,E08000001,Bolton
E01004776,Bolton 031A,E08000001,Bolton
E01004775,Bolton 014A,E08000001,Bolton
E01004776,Bolton 031A,E08000001,Bolton
E01004785,Bolton 006B,E08000001,Bolton
E01004787,Bolton 013A,E08000001,Bolton
E01004790,Bolton 002B,E08000001,Bolton
E01004786,Bolton 006C,E08000001,Bolton
E01004784,Bolton 006A,E08000001,Bolton
E01004785,Bolton 006B,E08000001,Bolton
E01004791,Bolton 006E,E08000001,Bolton
E01004792,Bolton 006F,E08000001,Bolton
E01004786,Bolton 006C,E08000001,Bolton
E01004791,Bolton 006E,E08000001,Bolton
E01004786,Bolton 006C,E08000001,Bolton
E01004790,Bolton 002B,E08000001,Bolton
E01004792,Bolton 006F,E08000001,Bolton
E01004784,Bolton 006A,E08000001,Bolton
E01004785,Bolton 006B,E08000001,Bolton
E01004786,Bolton 006C,E08000001,Bolton
E01004792,Bolton 006F,E08000001,Bolton
E01004792,Bolton 006F,E08000001,Bolton
