lsoa11cd,wd17cd,wd17nm,lad17cd,lad17nm
E01005240,E05000710,Moss Side,E08000003,Manchester
E01005241,E05000710,Moss Side,E08000003,Manchester
E01005242,E05000710,Moss Side,E08000003,Manchester
E01005243,E05000710,Moss Side,E08000003,Manchester
E01005244,E05000710,Moss Side,E08000003,Manchester
E01005245,E05000710,Moss Side,E08000003,Manchester
E01005246,E05000710,Moss Side,E08000003,Manchester
E01005247,E05000711,Moston,E08000003,Manchester
E01005248,E05000711,Moston,E08000003,Manchester
E01005249,E05000711,Moston,E08000003,Manchester
E01005250,E05000693,Charlestown,E08000003,Manchester
E01005251,E05000693,Charlestown,E08000003,Manchester
E01005252,E05000693,Charlestown,E08000003,Manchester
E01005253,E05000711,Moston,E08000003,Manchester
E01005254,E05000711,Moston,E08000003,Manchester
E01005255,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005256,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005257,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005258,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005259,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005260,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005261,E05000709,Miles Platting and Newton Heath,E08000003,Manchester
E01005262,E05000691,Brooklands,E08000003,Manchester
E01005263,E05000712,Northenden,E08000003,Manchester
E01005264,E05000712,Northenden,E08000003,Manchester
E01005265,E05000712,Northenden,E08000003,Manchester
E01005266,E05000691,Brooklands,E08000003,Manchester
E01005267,E05000712,Northenden,E08000003,Manchester
E01005268,E05000712,Northenden,E08000003,Manchester
E01005269,E05000712,Northenden,E08000003,Manchester
E01005270,E05000713,Old Moat,E08000003,Manchester
E01005271,E05000713,Old Moat,E08000003,Manchester
E01005272,E05000713,Old Moat,E08000003,Manchester
E01005273,E05000713,Old Moat,E08000003,Manchester
E01005274,E05000713,Old Moat,E08000003,Manchester
E01005275,E05000713,Old Moat,E08000003,Manchester
E01005276,E05000713,Old Moat,E08000003,Manchester
E01005277,E05000700,Didsbury West,E08000003,Manchester
E01005278,E05000713,Old Moat,E08000003,Manchester
E01005279,E05000713,Old Moat,E08000003,Manchester
E01005280,E05000714,Rusholme,E08000003,Manchester
E01005281,E05000714,Rusholme,E08000003,Manchester
E01005282,E05000714,Rusholme,E08000003,Manchester
E01005283,E05000707,Levenshulme,E08000003,Manchester
E01005284,E05000714,Rusholme,E08000003,Manchester
E01005285,E05000714,Rusholme,E08000003,Manchester
E01005286,E05000714,Rusholme,E08000003,Manchester
E01005287,E05000714,Rusholme,E08000003,Manchester
E01005288,E05000714,Rusholme,E08000003,Manchester
E01005289,E05000715,Sharston,E08000003,Manchester
E01005026,E05000672,East,E08000002,Bury
E01005027,E05000682,Redvales,E08000002,Bury
E01005028,E05000682,Redvales,E08000002,Bury
E01005029,E05000682,Redvales,E08000002,Bury
E01005030,E05000682,Redvales,E08000002,Bury
E01005031,E05000683,St Mary's,E08000002,Bury
E01005032,E05000683,St Mary's,E08000002,Bury
E01005033,E05000684,Sedgley,E08000002,Bury
E01005034,E05000683,St Mary's,E08000002,Bury
E01005035,E05000683,St Mary's,E08000002,Bury
E01005036,E05000683,St Mary's,E08000002,Bury
E01005037,E05000683,St Mary's,E08000002,Bury
E01005038,E05000683,St Mary's,E08000002,Bury
E01005039,E05000684,Sedgley,E08000002,Bury
E01005040,E05000684,Sedgley,E08000002,Bury
E01005041,E05000684,Sedgley,E08000002,Bury
E01005042,E05000684,Sedgley,E08000002,Bury
E01005043,E05000684,Sedgley,E08000002,Bury
E01005044,E05000684,Sedgley,E08000002,Bury
E01005045,E05000684,Sedgley,E08000002,Bury
E01005046,E05000676,North Manor,E08000002,Bury
E01005047,E05000685,Tottington,E08000002,Bury
E01005048,E05000676,North Manor,E08000002,Bury
E01005049,E05000685,Tottington,E08000002,Bury
E01005050,E05000685,Tottington,E08000002,Bury
E01005051,E05000685,Tottington,E08000002,Bury
E01005052,E05000685,Tottington,E08000002,Bury
E01005053,E05000685,Tottington,E08000002,Bury
E01005054,E05000686,Unsworth,E08000002,Bury
E01005055,E05000686,Unsworth,E08000002,Bury
E01005056,E05000686,Unsworth,E08000002,Bury
E01005057,E05000686,Unsworth,E08000002,Bury
E01005058,E05000686,Unsworth,E08000002,Bury
E01005059,E05000682,Redvales,E08000002,Bury
E01005060,E05000682,Redvales,E08000002,Bury
E01005061,E05000688,Ardwick,E08000003,Manchester
E01005062,E05000688,Ardwick,E08000003,Manchester
E01005063,E05000688,Ardwick,E08000003,Manchester
E01005065,E05000688,Ardwick,E08000003,Manchester
E01005066,E05000688,Ardwick,E08000003,Manchester
E01005067,E05000688,Ardwick,E08000003,Manchester
E01005068,E05000689,Baguley,E08000003,Manchester
E01005069,E05000691,Brooklands,E08000003,Manchester
E01005070,E05000689,Baguley,E08000003,Manchester
E01005071,E05000689,Baguley,E08000003,Manchester
E01005072,E05000689,Baguley,E08000003,Manchester
E01005073,E05000689,Baguley,E08000003,Manchester
E01005074,E05000689,Baguley,E08000003,Manchester
E01005075,E05000689,Baguley,E08000003,Manchester
E01005076,E05000700,Didsbury West,E08000003,Manchester
E01005077,E05000696,Chorlton Park,E08000003,Manchester
E01005290,E05000715,Sharston,E08000003,Manchester
E01005291,E05000715,Sharston,E08000003,Manchester
E01005078,E05000700,Didsbury West,E08000003,Manchester
E01005292,E05000715,Sharston,E08000003,Manchester
E01005079,E05000700,Didsbury West,E08000003,Manchester
E01005293,E05000715,Sharston,E08000003,Manchester
E01005081,E05000696,Chorlton Park,E08000003,Manchester
E01005294,E05000715,Sharston,E08000003,Manchester
E01005082,E05000696,Chorlton Park,E08000003,Manchester
E01005295,E05000715,Sharston,E08000003,Manchester
E01005083,E05000700,Didsbury West,E08000003,Manchester
E01005296,E05000695,Chorlton,E08000003,Manchester
E01005084,E05000696,Chorlton Park,E08000003,Manchester
E01005297,E05000716,Whalley Range,E08000003,Manchester
E01005085,E05000712,Northenden,E08000003,Manchester
E01005298,E05000716,Whalley Range,E08000003,Manchester
E01005086,E05000712,Northenden,E08000003,Manchester
E01005299,E05000716,Whalley Range,E08000003,Manchester
E01005300,E05000716,Whalley Range,E08000003,Manchester
E01005301,E05000716,Whalley Range,E08000003,Manchester
E01005302,E05000716,Whalley Range,E08000003,Manchester
E01005304,E05000717,Withington,E08000003,Manchester
E01005305,E05000717,Withington,E08000003,Manchester
E01005306,E05000699,Didsbury East,E08000003,Manchester
