LSOA11CD,LSOA11NM,WD15CD,WD15NM,LAD15CD,LAD15NM
E01004766,Bolton 005A,E05000650,Astley Bridge,E08000001,Bolton
E01004767,Bolton 005B,E05000654,Crompton,E08000001,Bolton
E01004768,Bolton 001A,E05000650,Astley Bridge,E08000001,Bolton
E01004769,Bolton 003A,E05000650,Astley Bridge,E08000001,Bolton
E01004770,Bolton 003B,E05000650,Astley Bridge,E08000001,Bolton
E01004771,Bolton 003C,E05000650,Astley Bridge,E08000001,Bolton
E01004772,Bolton 005C,E05000650,Astley Bridge,E08000001,Bolton
E01004773,Bolton 003D,E05000650,Astley Bridge,E08000001,Bolton
E01004774,Bolton 005D,E05000650,Astley Bridge,E08000001,Bolton
E01004775,Bolton 014A,E05000659,Heaton and Lostock,E08000001,Bolton
E01004776,Bolton 031A,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004777,Bolton 004A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004778,Bolton 009A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004779,Bolton 007A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004780,Bolton 009B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004781,Bolton 007B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004782,Bolton 009C,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004783,Bolton 009D,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004784,Bolton 006A,E05000651,Bradshaw,E08000001,Bolton
E01004785,Bolton 006B,E05000652,Breightmet,E08000001,Bolton
E01004786,Bolton 006C,E05000651,Bradshaw,E08000001,Bolton
E01004787,Bolton 013A,E05000652,Breightmet,E08000001,Bolton
E01004788,Bolton 002A,E05000651,Bradshaw,E08000001,Bolton
E01004789,Bolton 006D,E05000651,Bradshaw,E08000001,Bolton
E01004790,Bolton 002B,E05000651,Bradshaw,E08000001,Bolton
E01004791,Bolton 006E,E05000651,Bradshaw,E08000001,Bolton
E01004792,Bolton 006F,E05000651,Bradshaw,E08000001,Bolton
E01004793,Bolton 013B,E05000652,Breightmet,E08000001,Bolton
E01004794,Bolton 013C,E05000651,Bradshaw,E08000001,Bolton
E01004795,Bolton 013D,E05000652,Breightmet,E08000001,Bolton
E01004796,Bolton 019A,E05000652,Breightmet,E08000001,Bolton
E01004797,Bolton 013E,E05000652,Breightmet,E08000001,Bolton
E01004798,Bolton 019B,E05000652,Breightmet,E08000001,Bolton
E01004799,Bolton 019C,E05000652,Breightmet,E08000001,Bolton
E01004800,Bolton 019D,E05000652,Breightmet,E08000001,Bolton
E01004801,Bolton 019E,E05000652,Breightmet,E08000001,Bolton
E01004802,Bolton 010A,E05000654,Crompton,E08000001,Bolton
E01004803,Bolton 001B,E05000653,Bromley Cross,E08000001,Bolton
E01004804,Bolton 001C,E05000653,Bromley Cross,E08000001,Bolton
E01004805,Bolton 002C,E05000653,Bromley Cross,E08000001,Bolton
E01004806,Bolton 002D,E05000653,Bromley Cross,E08000001,Bolton
E01004807,Bolton 001D,E05000653,Bromley Cross,E08000001,Bolton
E01004808,Bolton 001E,E05000653,Bromley Cross,E08000001,Bolton
E01004809,Bolton 003E,E05000653,Bromley Cross,E08000001,Bolton
E01004810,Bolton 002E,E05000653,Bromley Cross,E08000001,Bolton
E01004811,Bolton 022A,E05000656,Great Lever,E08000001,Bolton
E01004812,Bolton 022B,E05000656,Great Lever,E08000001,Bolton
E01004813,Bolton 022C,E05000656,Great Lever,E08000001,Bolton
E01004814,Bolton 027A,E05000655,Farnworth,E08000001,Bolton
E01004815,Bolton 022D,E05000656,Great Lever,E08000001,Bolton
E01004816,Bolton 029A,E05000656,Great Lever,E08000001,Bolton
E01004817,Bolton 022E,E05000656,Great Lever,E08000001,Bolton
E01004818,Bolton 017A,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004819,Bolton 017B,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004820,Bolton 011A,E05000657,Halliwell,E08000001,Bolton
E01004822,Bolton 016B,E05000654,Crompton,E08000001,Bolton
E01004823,Bolton 016C,E05000657,Halliwell,E08000001,Bolton
E01004824,Bolton 005E,E05000654,Crompton,E08000001,Bolton
E01004825,Bolton 011B,E05000654,Crompton,E08000001,Bolton
E01004826,Bolton 011C,E05000654,Crompton,E08000001,Bolton
E01004827,Bolton 021A,E05000665,Rumworth,E08000001,Bolton
E01004828,Bolton 023A,E05000665,Rumworth,E08000001,Bolton
E01004829,Bolton 023B,E05000665,Rumworth,E08000001,Bolton
E01004830,Bolton 026A,E05000662,Hulton,E08000001,Bolton
E01004831,Bolton 026B,E05000662,Hulton,E08000001,Bolton
E01004832,Bolton 023C,E05000662,Hulton,E08000001,Bolton
E01004833,Bolton 026C,E05000662,Hulton,E08000001,Bolton
E01004834,Bolton 018A,E05000665,Rumworth,E08000001,Bolton
E01004835,Bolton 020A,E05000659,Heaton and Lostock,E08000001,Bolton
E01004836,Bolton 020B,E05000659,Heaton and Lostock,E08000001,Bolton
E01004837,Bolton 020C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004838,Bolton 018B,E05000662,Hulton,E08000001,Bolton
E01004839,Bolton 026D,E05000662,Hulton,E08000001,Bolton
E01004840,Bolton 012A,E05000666,Smithills,E08000001,Bolton
E01004841,Bolton 012B,E05000666,Smithills,E08000001,Bolton
E01004842,Bolton 012C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004843,Bolton 018C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004844,Bolton 020D,E05000659,Heaton and Lostock,E08000001,Bolton
E01004845,Bolton 018D,E05000659,Heaton and Lostock,E08000001,Bolton
E01004846,Bolton 025A,E05000656,Great Lever,E08000001,Bolton
E01004847,Bolton 025B,E05000656,Great Lever,E08000001,Bolton
E01004848,Bolton 016D,E05000656,Great Lever,E08000001,Bolton
E01004849,Bolton 021B,E05000665,Rumworth,E08000001,Bolton
E01004850,Bolton 021C,E05000665,Rumworth,E08000001,Bolton
E01004851,Bolton 021D,E05000665,Rumworth,E08000001,Bolton
E01004852,Bolton 025C,E05000656,Great Lever,E08000001,Bolton
E01004853,Bolton 021E,E05000665,Rumworth,E08000001,Bolton
E01004854,Bolton 023D,E05000665,Rumworth,E08000001,Bolton
E01004855,Bolton 027B,E05000655,Farnworth,E08000001,Bolton
E01004856,Bolton 027C,E05000655,Farnworth,E08000001,Bolton
E01004857,Bolton 027D,E05000655,Farnworth,E08000001,Bolton
E01004858,Bolton 032A,E05000655,Farnworth,E08000001,Bolton
E01004859,Bolton 032B,E05000655,Farnworth,E08000001,Bolton
E01004860,Bolton 032C,E05000655,Farnworth,E08000001,Bolton
E01004861,Bolton 033A,E05000655,Farnworth,E08000001,Bolton
E01004862,Bolton 033B,E05000655,Farnworth,E08000001,Bolton
E01004863,Bolton 033C,E05000655,Farnworth,E08000001,Bolton
E01004864,Bolton 008A,E05000654,Crompton,E08000001,Bolton
E01004865,Bolton 011D,E05000654,Crompton,E08000001,Bolton
E01004866,Bolton 011E,E05000657,Halliwell,E08000001,Bolton
E01004867,Bolton 008B,E05000654,Crompton,E08000001,Bolton
E01004868,Bolton 015A,E05000657,Halliwell,E08000001,Bolton
E01004869,Bolton 015B,E05000657,Halliwell,E08000001,Bolton
E01004870,Bolton 015C,E05000657,Halliwell,E08000001,Bolton
E01004871,Bolton 015D,E05000657,Halliwell,E08000001,Bolton
E01004872,Bolton 029B,E05000655,Farnworth,E08000001,Bolton
E01004873,Bolton 029C,E05000658,Harper Green,E08000001,Bolton
E01004874,Bolton 033D,E05000658,Harper Green,E08000001,Bolton
E01004875,Bolton 029D,E05000658,Harper Green,E08000001,Bolton
E01004876,Bolton 033E,E05000658,Harper Green,E08000001,Bolton
E01004877,Bolton 025D,E05000658,Harper Green,E08000001,Bolton
E01004878,Bolton 023E,E05000658,Harper Green,E08000001,Bolton
E01004879,Bolton 025E,E05000658,Harper Green,E08000001,Bolton
E01004880,Bolton 029E,E05000658,Harper Green,E08000001,Bolton
E01004881,Bolton 004B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004882,Bolton 007C,E05000661,Horwich North East,E08000001,Bolton
