area_code,area_name,area_abbr,lat,lon
E05000819,Altrincham,ALT,53.39070129,-2.3545599
E05000820,Ashton upon Mersey,AOM,53.42750168,-2.33266997
E05000821,Bowdon,BOW,53.38909912,-2.39865994
E05000822,Broadheath,BRD,53.40539932,-2.35279012
E05000823,Brooklands,BRK,53.41350174,-2.32091999
E05000824,Bucklow-St Martins,BSM,53.4253006,-2.3901999
E05000825,Clifford,CLF,53.457901,-2.26842999
E05000826,Davyhulme East,DVE,53.46120071,-2.34992003
E05000827,Davyhulme West,DVW,53.457514,-2.382337
E05000828,Flixton,FLX,53.439941,-2.383662
E05000829,Gorse Hill,GOH,53.46549988,-2.30786991
E05000830,Hale Barns,HBN,53.37360001,-2.31290007
E05000831,Hale Central,HCT,53.37620163,-2.33866
E05000832,Longford,LFD,53.44990158,-2.29115009
E05000833,Priory,PRI,53.42789841,-2.30737996
E05000834,St Mary's,STM,53.4192009,-2.34701991
E05000835,Sale Moor,SLM,53.41930008,-2.2897799
E05000836,Stretford,STR,53.44240189,-2.31830001
E05000837,Timperley,TMP,53.40029907,-2.33037996
E05000838,Urmston,URM,53.44189835,-2.34808993
E05000839,Village,VLG,53.39910126,-2.31463003
