postcode,ward_code,ward_name,msoa_code,msoa_hcl_name,lsoa_code,lsoa_name,la_code,la_name,lon,lat
BL0 0AA,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.31238,53.647771
BL0 0AB,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.312472,53.648005
BL0 0AD,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.313283,53.649171
BL0 0AE,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.313003,53.65025
BL0 0AG,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.309669,53.647347
BL0 0AH,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.312981,53.649253
BL0 0AJ,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.303785,53.647497
BL0 0AL,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005014,Bury 001A,E08000002,Bury,-2.310064,53.647652
BL0 0AN,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.308076,53.644664
BL0 0AP,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.309302,53.646854
BL0 0AQ,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.309425,53.647096
BL0 0AR,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.309435,53.646458
BL0 0AS,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.309075,53.644751
BL0 0AT,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.308393,53.646613
BL0 0AU,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.307823,53.647315999999996
BL0 0AW,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005017,Bury 001D,E08000002,Bury,-2.307577,53.644674
BL0 0AX,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.304723,53.64745
BL0 0AY,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.305269,53.647646
BL0 0AZ,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.308112,53.647603
BL0 0BA,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.309633,53.648686
BL0 0BB,E05014163,Ramsbottom,E02001019,Ramsbottom,E01005015,Bury 001B,E08000002,Bury,-2.310571,53.650724
