postcode,lat,long
M15 4AB,53.465578,-2.26046
M15 4AD,53.464903,-2.260757
M15 4AG,53.46207,-2.257546
M15 4AJ,53.457321,-2.262773
M15 4AL,53.462769,-2.258379
M15 4AN,53.462571,-2.258558
M15 4AQ,53.46207,-2.257546
M15 4AS,53.461621,-2.257227
M15 4AT,53.461621,-2.257227
M15 4AZ,53.461794,-2.256355
M15 4BA,53.461794,-2.256355
M15 4BF,53.466001,-2.264138
M15 4BG,53.466084,-2.263445
M15 4BH,53.465769,-2.263519
M15 4BJ,53.465463,-2.263863
M15 4BL,53.46505,-2.263529
M15 4BN,53.46571,-2.261891
M15 4BT,53.464971,-2.262474
M15 4BU,53.465325,-2.261226
M15 4BX,53.466212,-2.261954
M15 4BY,53.46569,-2.262599
M15 4BZ,53.466235,-2.263792
M15 4DA,53.465332,-2.261814
M15 4DE,53.466715,-2.262017
M15 4ED,53.467744,-2.26445
M15 4EE,53.46874,-2.265405
M15 4EF,53.467283,-2.265998
M15 4EH,53.466888,-2.265484
M15 4EJ,53.466662,-2.266055
M15 4EP,53.466802,-2.263932
M15 4EZ,53.469144,-2.265438
M15 4FB,53.466213,-2.266127
M15 4FD,53.466585,-2.264638
M15 4FE,53.467321,-2.264673
M15 4FF,53.467321,-2.264673
M15 4FH,53.466662,-2.266055
M15 4FJ,53.466267,-2.265343
M15 4FL,53.465109,-2.265141
M15 4FP,53.464752,-2.259867
M15 4FU,53.465307,-2.261211
M15 4FW,53.469438,-2.266599
M15 4GF,53.464615,-2.261041
M15 4GH,53.465937,-2.260914
M15 4GW,53.466482,-2.261684
M15 4GX,53.457321,-2.262773
M15 4JL,53.465775,-2.264482
M15 4JN,53.465837,-2.265357
M15 4LS,53.457321,-2.262773
M15 4ND,53.469432,-2.269612
M15 4NE,53.469422,-2.269763
M15 4NF,53.468536,-2.2681
M15 4PE,53.457321,-2.262773
M15 4PF,53.457321,-2.262773
M15 4PL,53.457321,-2.262773
M15 4QZ,53.471756,-2.266688
M15 4RD,53.457321,-2.262773
M15 4RR,53.471982,-2.266132
M15 4SF,53.457321,-2.262773
